1,141,70,-40,141,1,1,3,1,None
2,564,70,-40,141,1,1,3,1,None
3,987,70,-40,141,1,1,3,1,None
4,352,192,-40,141,3,2,3,1,None
5,775,192,-40,141,1,2,3,1,None
6,141,314,-40,141,2,3,3,1,None
7,564,314,-40,141,1,3,3,1,None
8,987,314,-40,141,2,3,3,1,None
9,352,436,-40,141,1,1,3,1,None
10,775,436,-40,141,2,1,3,1,None
11,141,558,-40,141,4,2,3,1,None
12,564,558,-40,141,4,2,3,1,None
13,987,558,-40,141,3,2,3,1,None
14,352,681,-40,141,2,3,3,1,None
15,775,681,-40,141,2,3,3,1,None



16,511,-21,35,35,1,1,21,2,2
17,616,-21,41,35,2,2,21,2,2
18,563,8,45,35,4,3,21,2,2
19,511,38,41,35,1,4,21,2,2
20,616,38,41,35,3,5,21,2,2
21,668,69,43,35,4,4,21,2,2
22,563,69,45,35,1,6,21,2,2
23,458,69,39,35,4,7,21,2,2
24,511,99,37,35,4,2,21,2,2
25,616,99,43,35,4,7,21,2,2
26,563,129,45,35,2,1,21,2,2
27,511,160,38,35,3,5,21,2,2
28,616,160,42,35,4,3,21,2,2
29,563,-52,37,35,2,7,21,2,2
30,563,190,38,35,4,4,21,2,2
31,668,8,35,35,4,1,21,2,2
32,458,8,40,35,1,5,21,2,2
33,668,129,37,35,1,2,21,2,2
34,458,129,42,35,2,3,21,2,2
35,299,344,38,35,3,1,21,2,9
36,404,344,38,35,1,2,21,2,9
37,351,374,36,35,2,3,21,2,9
38,299,404,37,35,3,4,21,2,9
39,404,404,41,35,3,5,21,2,9
40,456,435,42,35,2,4,21,2,9
41,351,435,43,35,1,6,21,2,9
42,246,435,37,35,2,7,21,2,9
43,299,465,43,35,3,2,21,2,9
44,404,465,38,35,4,7,21,2,9
45,351,495,37,35,1,1,21,2,9
46,299,526,42,35,4,5,21,2,9
47,404,526,43,35,3,3,21,2,9
48,351,313,43,35,3,7,21,2,9
49,351,556,40,35,1,4,21,2,9
50,456,374,43,35,1,1,21,2,9
51,246,374,40,35,4,5,21,2,9
52,456,495,40,35,3,2,21,2,9
53,246,495,37,35,3,3,21,2,9
54,299,344,35,35,4,1,9,2,9
55,404,344,35,35,4,1,9,2,9
56,351,374,44,35,2,2,9,2,9
57,299,404,40,35,2,3,9,2,9
58,404,404,40,35,4,3,9,2,9
59,456,435,42,35,3,1,9,2,9
60,351,435,38,35,4,1,9,2,9
61,246,435,45,35,2,1,9,2,9
62,299,465,39,35,4,2,9,2,9
63,404,465,36,35,4,2,9,2,9
64,351,495,36,35,4,3,9,2,9
65,299,526,37,35,3,1,9,2,9
66,404,526,40,35,1,1,9,2,9
67,351,313,39,35,1,3,9,2,9
68,351,556,37,35,3,2,9,2,9
69,456,374,45,35,1,2,9,2,9
70,246,374,39,35,1,2,9,2,9
71,456,495,44,35,1,3,9,2,9
72,246,495,37,35,2,3,9,2,9
73,550,106,30,9,1,1,63,3,26
74,577,106,30,9,4,1,63,3,26
75,563,114,30,9,4,2,63,3,26
76,550,122,30,9,3,3,63,3,26
77,577,122,30,9,1,3,63,3,26
78,590,129,30,9,1,1,63,3,26
79,536,129,30,9,4,1,63,3,26
80,550,137,30,9,1,2,63,3,26
81,577,137,30,9,4,2,63,3,26
82,563,145,30,9,4,3,63,3,26
83,550,153,30,9,1,1,63,3,26
84,577,153,30,9,1,1,63,3,26
85,550,46,30,9,4,1,63,3,22
86,577,46,30,9,1,1,63,3,22
87,563,54,30,9,3,2,63,3,22
88,550,62,30,9,2,3,63,3,22
89,577,62,30,9,4,3,63,3,22
90,590,69,30,9,3,1,63,3,22
91,536,69,30,9,3,1,63,3,22
92,550,77,30,9,1,2,63,3,22
93,577,77,30,9,4,2,63,3,22
94,563,85,30,9,3,3,63,3,22
95,550,93,30,9,2,1,63,3,22
96,577,93,30,9,1,1,63,3,22
97,391,442,30,9,2,1,147,3,44
98,418,442,30,9,4,2,147,3,44
99,404,450,30,9,2,3,147,3,44
100,391,458,30,9,3,4,147,3,44
101,418,458,30,9,2,5,147,3,44
102,431,465,30,9,1,4,147,3,44
103,377,465,30,9,3,6,147,3,44
104,391,473,30,9,3,2,147,3,44
105,418,473,30,9,3,6,147,3,44
106,404,481,30,9,1,1,147,3,44
107,391,489,30,9,2,5,147,3,44
108,418,489,30,9,2,3,147,3,44
